raw_x,raw_y,raw_z
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
0.3138128,-0.1569064,7.5315072
